Location,DF_Market,TMO,Flavor,Taste,Thickness,Length,PMI SKU,Cluster SKU
Wenzhou Longwan,China,PMI,Regular,Full Flavor,STD,KS,1,7
Addis Ababa,Ethiopia,PMI,Regular,Full Flavor,STD,KS,1,0
Zanzibar,Tanzania,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Toulouse,France DP,PMI,Regular,Full Flavor,SLI,KS,1,2
Salvador,Brazil,PMI,Menthol Caps,Full Flavor,STD,KS,1,1
Brisbane,Australia,PMI,Menthol,Full Flavor,STD,KS,1,2
Colombo,Sri Lanka,PMI,NTD Caps,Full Flavor,STD,KS,1,0
Male,Maldives,PMI,Regular,Full Flavor,SLI,KS,1,0
Busan - Kimhae,South Korea,PMI,Menthol,Full Flavor,STD,KS,1,1
Izmir Airport,Turkey,PMI,Menthol Caps,Full Flavor,STD,KS,1,5
Sihanoukville,Cambodia,PMI,Menthol,Full Flavor,STD,KS,1,1
Hyderabad,India,PMI,NTD Caps,Full Flavor,STD,KS,1,3
Everrich Downtown Kinmen,Taiwan,PMI,NTD Caps,Full Flavor,STD,KS,1,1
Bilbao,Spain,PMI,Regular,Full Flavor,SLI,KS,1,2
Bariloche,Argentina,PMI,Regular,Full Flavor,SLI,KS,1,1
Kutahya Airport,Turkey,PMI,NTD Caps,Full Flavor,STD,KS,1,10
Skiathos,Greece,PMI,Regular,Full Flavor,STD,KS,1,9
Palma De Mallorca,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Casablanca,Morocco,PMI,Menthol,Full Flavor,STD,KS,1,1
St. Petersburg Pulkovo,Russia,PMI,NTD Caps,Full Flavor,STD,KS,1,2
Ankara Airport,Turkey,PMI,Regular,Full Flavor,STD,KS,1,15
Bilbao,Spain DP,PMI,Regular,Full Flavor,STD,KS,1,7
Denizli Cardak Airport,Turkey,PMI,Regular,Full Flavor,SLI,KS,1,7
Seoul,South Korea,PMI,NTD Caps,Full Flavor,STD,KS,1,5
Hyderabad,India,PMI,Regular,Full Flavor,SLI,KS,1,2
Madeira,Portugal,PMI,Regular,Full Flavor,SLI,KS,1,1
Genoa,Italy,PMI,Regular,Full Flavor,SLI,KS,1,3
Chengdu Tianfu,China,PMI,Menthol Caps,Full Flavor,STD,KS,1,4
