Location,DF_Market,Flavor,Taste,Thickness,Length,DF_Vol,Real_So_Segment,Ideal_So_Segment,Delta_SoS
Mombasa,Kenya,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.026521956689,0.026521956689
Mombasa,Kenya,Menthol,Full Flavor,STD,100,0.000000,0.000000000000,0.000738350769,0.000738350769
Mombasa,Kenya,NTD Caps,Full Flavor,SLI,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Mombasa,Kenya,Regular,Lights,STD,LONGER THAN KS,0.000000,0.000000000000,0.001578596843,0.001578596843
Mombasa,Kenya,Menthol Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.000115038251,0.000115038251
Mombasa,Kenya,Regular,Full Flavor,SSL,100,0.000000,0.000000000000,0.015207364220,0.015207364220
Mombasa,Kenya,NTD Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.400000000000,0.400000000000
Mombasa,Kenya,Regular,Lights,SLI,KS,0.000000,0.000000000000,0.008434143885,0.008434143885
Mombasa,Kenya,Regular,Full Flavor,STD,KS,0.000000,0.000000000000,0.621118172473,0.621118172473
Mombasa,Kenya,Regular,Ultralights,SLI,KS,0.000000,0.000000000000,0.000740556051,0.000740556051
Mombasa,Kenya,Menthol,Full Flavor,SSL,100,0.000000,0.000000000000,0.000078054049,0.000078054049
Mombasa,Kenya,Regular,1mg,STD,KS,0.000000,0.000000000000,0.001241040690,0.001241040690
Mombasa,Kenya,Regular,Lights,SSL,100,0.000000,0.000000000000,0.008330538808,0.008330538808
Mombasa,Kenya,Regular,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000337243666,0.000337243666
Mombasa,Kenya,Regular,Full Flavor,STD,100,0.000000,0.000000000000,0.019848602351,0.019848602351
Mombasa,Kenya,NTD Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.400000000000,0.400000000000
Mombasa,Kenya,Menthol Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.000107181008,0.000107181008
Mombasa,Kenya,Menthol Caps,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000320927149,0.000320927149
Mombasa,Kenya,NTD Caps,Full Flavor,SSL,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Mombasa,Kenya,Menthol,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.300000000000,0.300000000000
Mombasa,Kenya,Menthol,Full Flavor,SLI,100,0.000000,0.000000000000,0.000001043659,0.000001043659
Mombasa,Kenya,Regular,Full Flavor,SLI,100,0.000000,0.000000000000,0.000266698957,0.000266698957
Mombasa,Kenya,Menthol,Full Flavor,SLI,KS,0.000000,0.000000000000,0.000003951396,0.000003951396
Mombasa,Kenya,Menthol Caps,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000048383120,0.000048383120
Mombasa,Kenya,Regular,Lights,STD,KS,0.000000,0.000000000000,0.200109475877,0.200109475877
Mombasa,Kenya,NTD Caps,Full Flavor,STD,100,0.000000,0.000000000000,0.400000000000,0.400000000000
Mombasa,Kenya,Menthol Caps,Full Flavor,STD,KS,0.000000,0.000000000000,0.001480160666,0.001480160666
Mombasa,Kenya,Menthol,Full Flavor,SSL,KS,0.000000,0.000000000000,0.000001229951,0.000001229951
Mombasa,Kenya,Menthol,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.000004550490,0.000004550490
Puerto Vallarta,Mexico,Regular,Lights,STD,100,63.600000,0.002087573032,0.007138977239,0.005051404207
Puerto Vallarta,Mexico,Regular,Full Flavor,SLI,KS,5478.200000,0.179813562660,0.003650986888,-0.176162575772
Puerto Vallarta,Mexico,Regular,Full Flavor,SLI,EXTRA LONG,0.000000,0.000000000000,0.000012582156,0.000012582156
Puerto Vallarta,Mexico,Menthol,Full Flavor,STD,KS,2896.400000,0.095069914002,0.001224276256,-0.093845637746
Puerto Vallarta,Mexico,Regular,Full Flavor,STD,LONGER THAN KS,0.000000,0.000000000000,0.000599373220,0.000599373220
Puerto Vallarta,Mexico,NTD Caps,Ultralights,STD,KS,0.000000,0.000000000000,0.250000000000,0.250000000000
Puerto Vallarta,Mexico,Regular,Ultralights,STD,KS,0.000000,0.000000000000,0.012570330203,0.012570330203
