EBROMId,TMO,Brand Family,Market,PRODUCT_CATEGORY_NAME
50025599,PMI,BOND STREET,Turkey,Cigarettes
60080500,PMI,PHILIP MORRIS,Greece,Cigarettes
50006731,IMPERIAL BRANDS,REGAL,Oman,Cigarettes
60170112,PMI,MARLBORO,UAE,Cigarettes
60037842,BAT,KING'S,Denmark,Cigarettes
50077879,UNSPECIFIED TMOs,GINSENG,PRC,Cigarettes
50004077,TRADE BRANDS,CLIFF,Germany,Cigarettes
50061807,JTI,WINSTON,Cyprus,Cigarettes
50024234,BAT,FEMINA,Bulgaria,Cigarettes
60126143,PMI,MARLBORO,Norway,Cigarettes
60130398,BAT,PALL MALL,Ukraine,Cigarettes
60078430,PMI,L&M,Germany,Cigarettes
50053170,UNSPECIFIED TMOs,AMERICAN LEGEND,Russia,Cigarettes
60073774,BAT,PRESTIGE,Georgia,Cigarettes
50015111,BAT,CARLTON,Brazil,Cigarettes
60127621,JTI,WINSTON,Singapore,Cigarettes
50011378,PMI,PARLIAMENT,Maldives,Cigarettes
50070562,BAT,KENT,Paraguay,Cigarettes
60054313,BAT,LEXINGTON,Germany,Cigarettes
60247168,VON EICKEN GMBH & CO,DENIM,Spain Mainland,Cigarettes
50073419,IMPERIAL BRANDS,HORIZON,Australia,Cigarettes
60055600,PMI,MURATTI,Bulgaria,Cigarettes
50001081,BAT,DUNHILL,Belgium,Cigarettes
50002414,JTI,SALEM,Japan,Cigarettes
60054234,UNSPECIFIED TMOs,OSCAR,Georgia,Cigarettes
60163796,BAT,ROTHMANS,Colombia,Cigarettes
60064049,POESCHL TABAK GMBH,PUEBLO,France,Cigarettes
50012815,OTHER LOCAL TMO IND.,GARUDA,Indonesia,Cigarettes
50024165,OTHER LOCAL TMO IND.,UNITED,Singapore,Cigarettes
50070991,UNSPECIFIED TMOs,EGALITE,Austria,Cigarettes
60062593,PMI,LONGBEACH,PMIDF,Cigarettes
50015161,PMI,PARLIAMENT,Mexico,Cigarettes
50050954,BULGARTABAC,SF,Bulgaria,Cigarettes
50055529,SPS CIGARONNE,CIGARONNE,Armenia,Cigarettes
60163895,BAT,ROTHMANS,Malaysia,Cigarettes
50007553,JTI,WINSTON,Portugal,Cigarettes
50072078,BAT,PALL MALL,Serbia,Cigarettes
50038432,ITC Ltd.,GOLD FLAKE,India,Cigarettes
50008638,IMPERIAL BRANDS,DUCADOS,Spain Mainland,Cigarettes
60195562,BAT,ROTHMANS ROYALS,New Zealand,Cigarettes
50048628,BAT,DUNHILL,Iceland,Cigarettes
